x_value,y_value,z_value
0,1000,1000
1,999,998
2,998,998
3,992,1003
4,993,1009
5,987,1007
6,984,1012
7,989,1014
8,996,1009
9,999,1008
10,997,1006
11,994,1004
12,989,1008
13,994,1014
14,997,1012
15,995,1009
16,992,1013
17,991,1019
18,987,1025
19,987,1022
20,992,1022
21,996,1025
22,998,1027
23,1005,1033
24,1009,1034
25,1010,1034
26,1006,1029
27,1009,1035
28,1013,1034
29,1015,1034
30,1016,1033
31,1020,1037
32,1015,1043
33,1015,1045
34,1017,1047
35,1017,1047
36,1025,1043
37,1031,1045
38,1031,1043
39,1039,1039
40,1041,1044
41,1041,1045
42,1044,1048
43,1049,1046
44,1046,1050
45,1045,1051
46,1043,1054
47,1042,1058
48,1044,1062
49,1048,1058
50,1044,1064
51,1040,1065
52,1040,1065
53,1039,1061
54,1045,1066
55,1045,1061
56,1053,1066
57,1047,1063
58,1048,1058
59,1051,1054
60,1057,1057
61,1053,1058
62,1048,1057
63,1055,1052
64,1053,1052
65,1052,1057
66,1049,1053
67,1055,1056
68,1062,1059
69,1069,1056
70,1077,1057
71,1071,1058
72,1077,1060
73,1083,1064
74,1091,1059
75,1098,1054
76,1093,1054
77,1087,1055
78,1083,1061
79,1088,1064
80,1082,1063
81,1084,1064
82,1082,1063
83,1076,1065
84,1076,1062
85,1076,1060
86,1082,1065
87,1080,1062
88,1082,1062
89,1077,1061
90,1073,1064
91,1070,1070
92,1071,1076
93,1079,1073
94,1083,1078
95,1080,1083
96,1079,1085
97,1078,1082
98,1082,1084
99,1089,1090
100,1086,1087
101,1084,1092
102,1079,1094
103,1080,1089
104,1075,1089
105,1071,1086
106,1076,1091
107,1079,1090
108,1086,1089
109,1089,1093
110,1085,1094
111,1080,1097
112,1081,1101
113,1082,1102
114,1078,1099
115,1078,1099
116,1074,1099
117,1070,1096
118,1077,1098
119,1074,1093
120,1082,1094
121,1079,1091
122,1073,1093
123,1068,1095
124,1073,1096
125,1072,1097
126,1073,1100
127,1079,1103
128,1075,1105
129,1083,1107
130,1078,1110
131,1084,1112
132,1085,1114
133,1083,1117
134,1088,1113
135,1094,1108
136,1094,1112
137,1088,1113
138,1092,1113
139,1088,1111
140,1091,1113
141,1091,1112
142,1086,1115
143,1085,1115
144,1079,1115
145,1076,1113
146,1071,1113
147,1077,1112
148,1085,1116
149,1080,1118
150,1079,1117
151,1075,1112
152,1081,1118
153,1083,1122
154,1077,1121
155,1082,1117
156,1076,1120
157,1079,1117
158,1073,1117
159,1073,1122
160,1068,1126
161,1070,1126
162,1073,1121
163,1070,1124
164,1078,1128
165,1080,1134
166,1078,1138
167,1080,1141
168,1081,1146
169,1088,1142
170,1093,1145
171,1091,1146
172,1093,1143
173,1088,1149
174,1083,1146
175,1089,1145
176,1092,1146
177,1096,1147
178,1102,1142
179,1108,1140
180,1112,1146
181,1110,1147
182,1106,1146
183,1103,1150
184,1110,1152
185,1116,1148
186,1113,1148
187,1114,1152
188,1111,1156
189,1109,1157
190,1106,1153
191,1102,1159
192,1099,1163
193,1096,1165
194,1095,1165
195,1094,1167
196,1100,1162
197,1096,1168
198,1098,1166
199,1093,1166
200,1096,1166
201,1094,1171
202,1090,1177
203,1089,1177
204,1094,1178
205,1097,1176
206,1099,1177
207,1096,1183
208,1099,1184
209,1098,1185
210,1096,1191
211,1091,1195
212,1092,1197
213,1089,1201
214,1083,1200
215,1083,1202
216,1091,1205
217,1092,1206
218,1098,1210
219,1101,1214
220,1105,1210
221,1108,1209
222,1103,1208
223,1106,1209
224,1103,1211
225,1103,1209
226,1107,1214
227,1102,1211
228,1101,1208
229,1108,1206
230,1105,1211
231,1103,1213
232,1111,1209
233,1112,1205
234,1112,1209
235,1115,1211
236,1113,1214
237,1111,1210
238,1119,1212
239,1114,1210
240,1108,1207
241,1116,1210
242,1123,1207
243,1123,1202
244,1124,1202
245,1132,1200
246,1129,1200
247,1134,1206
248,1134,1208
249,1136,1207
250,1140,1213
251,1145,1211
252,1146,1211
253,1146,1209
254,1151,1208
255,1146,1211
256,1144,1214
257,1147,1210
258,1142,1206
259,1139,1209
260,1137,1207
261,1144,1205
262,1139,1209
263,1141,1211
264,1140,1209
265,1138,1214
266,1141,1215
267,1138,1214
268,1142,1213
269,1138,1217
270,1139,1216
271,1138,1220
272,1134,1221
273,1141,1221
274,1143,1221
275,1140,1219
276,1146,1225
277,1144,1228
278,1140,1223
279,1145,1225
280,1141,1229
281,1140,1225
282,1143,1230
283,1148,1232
284,1155,1228
285,1151,1227
286,1151,1233
287,1155,1236
288,1162,1237
289,1165,1240
290,1173,1240
